id|text|duration_s
0001|is it I could tell you it's 9 o 2 p.m. but your time may vary depending on|7.62
0002|where and when you are for most of us time was a set of numbers we used to|6.68
0003|gauge our days we live our lives by the clock waking up racing to work going to|6.53
0004|bed and on and on it wasn't always like that when I was a kid summers were|8.85
0005|timeless. I had no particular place to be, no appointments to be kept. My days were bounded|9.08
0006|only by the position of the sun. Time didn't matter so much back then. Now my life is a race|9.95
0007|against time. But what am I racing against? Is time a real thing built into the universe?|7.78
0008|Or is it just an abstraction, something we humans created to keep our civilizations running?|5.50
0009|For the answer, we have to ask a deceptively simple question.|5.80
0010|What is time?|2.57
0011|Think about it. Try to define it.|3.29
0012|It's not easy.|2.29
0013|Time is what keeps everything from happening all at once.|3.00
0014|And so time is that part of the world that orders events in a certain way|5.00
0015|so they happen sequentially from beginning to end.|4.41
0016|What we're realizing in neuroscience|4.12
0017|neuroscience is that time is not what we thought it was. Time is not something you're passively|7.18
0018|tracking. Instead, it's something that you're actively constructing with the brain. And my brain|6.38
0019|and your brain can be very different in terms of how they see the same event. Time just does not|6.54
0020|exist. What exists is these distributions of everything in the world, these what I call nows,|7.28
0021|but that's the real thing time as we know it was born here in 1884 a world conference decided that|11.76
0022|the meridian line that passes through the observatory at greenwich was to be the initial|5.68
0023|meridian the master time for planet earth greenwich meantime is our best approximation of|7.58
0024|time as described by sir isaac newton a steady beat counting behind the scenes of the universe|7.00
0025|Newton believed the universe was like a giant clock set into motion by God.|6.10
0026|Lee Smolin is a theoretical physicist trying to solve the mysteries of time.|4.78
0027|Newton's concept of time was that it was absolute.|2.64
0028|It was like a metronome, which, as he said, ticks on absolutely without regard to whether anything is happening in the universe or not.|8.10
0029|But even if nothing is happening, for example, even if in our studio here no music is playing,|5.28
0030|the metronome just kicks on absolutely at the same rate no matter what is going on.|6.80
0031|The problem with this is that it's actually impossible for any of us to detect absolute|6.24
0032|We detect time as relationships between things that happen, and we can illustrate this by|5.38
0033|develop time between themselves a relational time completely built from|4.66
0034|the relationship between the notes they're playing the events they're|2.70
0035|creating that's what time is really like so we can turn the metronome off in fact|5.74
0036|we can just get rid of it and the world keeps going on the music keeps going on|5.12
0037|just as before this was the great insight of Einstein and it was the basis|10.03
0038|of his general theory of relativity the time is created by the relationships of|4.88
0039|the changes that happen in the universe and nothing else even today some people|14.60
0040|have a hard time accepting Albert Einstein's relational time over Isaac|4.64
0041|Newton's absolute time but the better we get at telling time the more we can see|5.82
0042|that Einstein was right.|2.36
0043|This is the Aluminum Ion Experimental Clock|2.66
0044|at the National Institute of Standards and Technology|3.02
0045|It's the world's most accurate clock,|2.50
0046|measuring the oscillations of supercooled atoms.|2.70
0047|It keeps time to within one second|2.26
0048|every 3.7 billion years.|3.76
0049|In 2010, boldest time lords took two ion clocks side by side in perfect synchronization,|9.54
0050|then moved one of the clocks up 12 inches.|4.00
0051|The higher clock went out of sync.|3.26
0052|It beat just a tiny bit faster than the lower clock,|4.00
0053|because the higher clock is just a tiny bit farther away from the gravitational pull of the Earth,|7.16
0054|which slows things down.|2.00
0055|Einstein predicted this would happen back at the dawn of the 20th century,|5.25
0056|and he was just getting started.|3.00
0057|If we perceived the universe as Einstein pictured it,|5.64
0058|life would not have to flow in a smooth, linear progression.|4.80
0059|A simple act could be cut up and rearranged|7.12
0060|with no logical direction backward or forward,|4.00
0061|no beginning or end.|2.00
0062|This is how the universe would look|2.12
0063|if we were physically unstuck in time.|6.61
0064|at the California Institute of Technology.|3.83
0065|All around us, there are three dimensions of space.|2.90
0066|What Einstein realized is that time is also a dimension.|3.14
0067|In fact, time and space are one thing,|3.04
0068|called space-time, which is four-dimensional.|2.22
0069|That's what we move in and live our lives through.|2.66
0070|Einstein furthermore realized that gravity is a manifestation of the curvature of space-time.|6.64
0071|You have stuff in the universe, you have a planet or a black hole or some kind of mass|4.10
0072|or energy, it warps the space and time around it and that's what we see as gravity.|5.02
0073|And it really is the space-time that gets warped, it's time as well as space.|5.83
0074|So if you travel close to a strong gravitational field, you feel the flow of time differently|6.26
0075|than in outer space.|3.06
0076|The relativity of time causes a lot of strange effects, such as time running faster for astronauts|6.34
0077|than people on Earth.|2.10
0078|But Einstein's solution to the mystery of time opens up an even more challenging notion.|6.44
0079|If we look around, we see that all of space exists right here, right now.|7.62
0080|So doesn't it follow that all of time—past, present, and future—already exists as well?|7.27
0081|Could it be that the future is already here?|5.04
0082|Physics says that all the moments of time are equally real.|3.00
0083|And that tempts us into saying that they all exist simultaneously.|4.71
0084|But that's not what it's like.|2.40
0085|Different moments of time are really like different places in space.|3.12
0086|The difference is that unlike space, we can't help but experience time one moment after|5.54
0087|We can't go back to moments in the past and we can't right now talk to moments in the future.|6.00
0088|This sort of temporal dislocation seems to contradict the laws of physics and human experience.|8.92
0089|Or does it? Maybe not.|4.92
0090|This man would argue that the world is filled with people who are unstuck in time|6.51
0091|and that time itself may be all in our heads.|5.26
0092|David Eagleman of the Baylor College of Medicine has spent much of his career|4.58
0093|puzzling out how humans perceive time. He's found that our perception of time|6.12
0094|is governed by biological and psychological states. Many people will|5.36
0095|wake up just before their alarm clock because as their body's circadian rhythm|4.20
0096|is moving along, the signals in their body tell them this is the time to wake|5.72
0097|up and then they pop awake our time sense can also be altered by things such as sensory deprivation|7.12
0098|overstimulation and altered states of consciousness so for example when people smoke marijuana they|7.63
0099|sometimes feel like wow i've been standing here forever how long have i been here and it's as|4.96
0100|though their passage of time is going slowly but it's not exactly about slow time perception|5.04
0101|I believe it's about their inability to nail down a memory,|3.42
0102|a landmark of when they arrived there.|2.30
0103|it feels like they've been there for a very long time.|2.52
0104|you might have experienced the strange feeling|2.48
0105|that the whole event was playing in slow motion.|2.14
0106|you recall everything in vivid detail.|2.58
0107|This is another case of memory warping time.|3.04
0108|What happens during a really high intensity event is you have an emergency|5.98
0109|control center in your brain that kicks into gear and lays down very dense|4.56
0110|memories during that event. So it seems like it must have taken a long time.|6.45
0111|At any given moment the brain processes and synchronizes an enormous amount of|4.86
0112|information. Simple acts are actually small miracles of the mind's speed and|5.78
0113|power when you snap your fingers it looks like it's simultaneous it looks|4.38
0114|like the sight and the sound are happening at the same time but in fact|4.00
0115|what's happening is your auditory system is able to take information coming in|5.36
0116|through the ears and and process that very quickly whereas your visual system|3.90
0117|is much slower so what happens is your brain hears the sound and then it sees|6.78
0118|the sight and somehow it has to take both of those and stitch them together|5.28
0119|and serve up a single story which is that they were simultaneous even though|4.50
0120|the signals are arriving at the brain at different times this whole thing is|3.50
0121|really smeared out in time and yet it doesn't feel that way to us it feels as|4.56
0122|though the whole thing is simultaneous it takes a few millionths of a second|4.66
0123|for your brain to put together information and serve it up to your|3.84
0124|consciousness which means that we're all living a tiny bit in the past this time|6.76
0125|delay is the trade-off our brains make to give us the best story of what|5.64
0126|happened. But when the brain doesn't get the story right, it can change your|5.27
0127|relationship with time. Your personal time becomes different from others and|4.72
0128|that can have very bad consequences. Medical journals tell of the strange|6.30
0129|case of the man who went for a drive and noticed that the trees and buildings by|5.28
0130|the road was speeding by as if he were driving at 200 miles per hour he eased up on the accelerator|7.85
0131|but the cityscape continued to whiz by this man perceived the world as having accelerated|6.71
0132|in reality he had slowed down he walked and talked in slow motion he had become unstuck in time|9.76
0133|It turned out that his time sickness was caused by a brain tumor.|5.48
0134|Whatever time is, it's deeply wired into us.|6.85
0135|We are all clocks with our own internal time.|4.13
0136|David Eagleman suspects that going even slightly out of sync with the flow of time|6.51
0137|can lead to serious mental illness.|3.00
0138|I think that schizophrenia might fundamentally be a disorder of time perception.|4.26
0139|So imagine if there were some deficit in your time perception where you didn't know if your own actions were coming before or after the sensory consequences.|10.00
0140|What would happen is you would have a very fragmented cognition. You wouldn't know which things you caused and which things you didn't cause.|6.64
0141|To show how flexible our personal time can be, David devised an experiment that subtly warps a test subject's perception of time.|11.66
0142|So imagine that I have you press a button and that causes a flash of light.|9.72
0143|Now I inject a very small delay so that when you hit the button, the flash of light comes|4.98
0144|let's say a tenth of a second later.|3.34
0145|What happens is your brain gets used to that delay.|2.80
0146|It starts understanding that when it puts out this act, the sensory feedback is a little|4.52
0147|So it starts adjusting to that and it starts to seem simultaneous to you.|5.25
0148|Now, if I remove the delay, so now you hit the button and the flash happens immediately,|5.70
0149|you will believe that the flash happened before you pressed the button.|3.42
0150|This is exactly what happens in schizophrenia.|5.63
0151|Somebody will make an act and say, it wasn't me.|2.60
0152|I don't feel like I was the one who caused that.|4.81
0153|Time seems to vary from person to person.|3.14
0154|And the elastic nature of our subjective time has caused David to wonder whether time is,|5.50
0155|in fact, real.|2.95
0156|I think that time might be the most stubborn psychological filter that we have, and that|6.22
0157|when we start really reaching down below that, when we start really figuring out how time|4.30
0158|is constructed by the brain, we're going to have to go back to physics and rejig all of|5.70
0159|the equations there.|2.41
0160|Time may be real, or it may be an illusion.|5.31
0161|But from our perspective, the past is gone forever, and the future is yet to be written.|7.61
